1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
0,2,4,4,4,4,0,0,1,-8,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,0,
1,4,1,1,1,5,1,1,1,1,1,1,0,1,1,1,1,4,1,1,1,4,1,1,1,1,1,
1,4,4,4,4,4,4,4,4,4,4,1,0,1,4,4,4,4,4,4,4,4,4,4,4,4,1,
1,4,0,1,1,1,1,1,1,1,4,4,4,1,4,1,1,1,4,1,1,1,1,1,1,4,1,
1,4,1,1,4,4,4,4,4,4,4,1,4,1,4,1,4,4,4,1,-8,1,0,0,1,4,1,
1,4,4,4,4,1,1,1,1,1,0,1,4,1,4,1,4,1,4,1,0,1,0,1,1,4,1,
1,4,1,1,1,1,4,4,4,1,1,1,4,1,4,1,4,1,4,1,0,1,4,4,5,4,1,
1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,1,4,1,4,4,4,1,4,1,1,4,1,
1,4,1,1,1,1,1,1,1,1,1,1,4,1,4,1,4,1,4,1,4,1,4,4,1,4,1,
1,4,1,0,0,4,4,4,4,4,4,4,4,1,4,5,4,1,4,1,4,1,1,4,1,4,1,
1,4,1,1,1,4,1,1,1,1,1,1,4,1,4,1,4,1,4,1,4,0,1,4,1,4,1,
1,4,1,0,0,4,4,4,0,0,1,4,4,1,4,1,4,1,4,1,4,1,1,4,1,4,1,
1,4,1,1,1,1,1,5,1,1,1,4,1,1,4,1,4,4,4,1,4,4,1,4,1,4,1,
1,4,4,4,4,4,4,4,4,4,1,4,4,4,4,1,4,1,4,1,1,4,1,4,1,4,1,
1,4,1,1,1,1,1,1,1,4,1,4,1,4,1,1,4,1,4,1,4,4,1,4,1,4,1,
1,4,1,4,4,4,4,4,4,4,1,4,1,4,1,4,4,1,4,1,4,1,1,4,1,4,1,
1,4,1,4,1,1,1,1,1,1,1,4,1,4,1,4,1,1,4,1,4,4,1,4,1,4,1,
1,4,1,4,4,4,4,4,4,4,1,4,1,4,1,4,1,4,4,1,1,4,4,4,1,4,1,
1,4,1,0,1,1,1,1,1,4,1,4,1,4,1,4,1,4,1,1,0,4,1,1,1,4,1,
1,4,1,1,1,0,0,-8,1,4,4,4,1,4,4,4,1,4,1,4,4,4,4,4,4,4,1,
1,4,0,0,0,0,1,1,1,4,1,1,1,1,1,4,1,4,1,4,1,1,1,1,1,4,1,
1,4,1,1,1,1,1,4,4,4,1,4,4,4,1,4,4,4,5,4,1,4,4,4,1,4,1,
1,4,4,4,4,4,4,4,1,4,4,4,1,4,4,4,1,0,1,4,4,4,1,4,4,4,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
332207
41841e
